"card","meaning","german","plural","pdfEntries","teacherRows","url","aliases"
"W050","Eritrea","Eritrea","","W050","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w050/","/vocabulary/id-6c65783a65726974726561"
"W051","Germany","Deutschland","","W051","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w051/","/vocabulary/id-6c65783a646575747363686c616e64"
"W052","Switzerland","die Schweiz","","W052","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w052/","/vocabulary/id-6c65783a7363687765697a"
"W053","Turkey","die Türkei","","W053","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w053/","/vocabulary/id-6c65783a747565726b6569"
"W054","Spain","Spanien","","W054","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w054/","/vocabulary/id-6c65783a7370616e69656e"
"W055","France","Frankreich","","W055","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w055/","/vocabulary/id-6c65783a6672616e6b7265696368"
"W056","Austria","Österreich","","W056","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w056/","/vocabulary/id-6c65783a6f65737465727265696368"
"W057","the USA","die USA","","W057","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w057/","/vocabulary/id-6c65783a757361"
"W058","ah / I see","ah","","W058","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w058/",""
"W059","well-known person / public figure","die bekannte Persönlichkeit","die bekannten Persönlichkeiten","W059","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w059/",""
"W060","South Africa","Südafrika","","W060","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w060/",""
"W061","to tick / mark with a cross","ankreuzen","","W061","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w061/",""
"W062","to spell out","buchstabieren","","W062","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w062/",""
"W063","to throw / toss","werfen","","W063","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w063/",""
"W064","coin","die Münze","die Münzen","W064","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w064/",""
"W065","test","der Test","die Tests","W065","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w065/",""
"W066","quick test","der Schnelltest","die Schnelltests","W066","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w066/",""
"W067","to have","haben","","W067","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w067/",""
"W068","to live / reside","wohnen","","W068","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w068/",""
"W069","to live","leben","","W069","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w069/",""
"W070","to live together","zusammenleben","","W070","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w070/","/vocabulary/id-6c65783a7a7573616d6d656e6c6562656e"
"W071","to do / make","machen","","W071","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w071/",""
"W072","to work","arbeiten","","W072","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w072/",""
"W073","to collect","sammeln","","W073","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w073/",""
"W074","to study at university","studieren","","W074","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w074/",""
"W075","no / not a / not any","kein / keine","","W075","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w075/",""
"W076","in","in","","W076","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w076/",""
"W077","you (plural, informal)","ihr","","W077","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w077/",""
"W078","we","wir","","W078","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w078/",""
"W079","yes","ja","","W079","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w079/",""
"W080","but","aber","","W080","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w080/",""
"W081","where","wo","","W081","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w081/",""
"W082","what","was","","W082","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w082/",""
"W083","as","als","","W083","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w083/",""
"W084","at / for","bei","","W084","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w084/",""
"W085","from / of","von","","W085","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w085/",""
"W086","old","alt","","W086","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w086/",""
"W087","married","verheiratet","","W087","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w087/","/vocabulary/id-6c65783a7665726865697261746574"
"W088","together","zusammen","","W088","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w088/",""
"W089","correct / right","richtig","","W089","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w089/",""
"W090","wrong / incorrect","falsch","","W090","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w090/",""
"W091","divorced","geschieden","","W091","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w091/","/vocabulary/id-6c65783a6765736368696564656e"
"W092","alone / on one's own","allein","","W092","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w092/","/vocabulary/id-6c65783a616c6c65696e"
"W093","professionally / for a living","beruflich","","W093","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w093/",""
"W094","now","jetzt","","W094","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w094/",""
"W095","minus","minus","","W095","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w095/",""
"W096","plus","plus","","W096","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w096/",""
"W097","year","das Jahr","die Jahre","W097","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w097/","/vocabulary/id-6c65783a6a616872"
"W098","child","das Kind","die Kinder","W098","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w098/","/vocabulary/id-6c65783a6b696e64"
"W099","interview","das Interview","die Interviews","W099","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w099/","/vocabulary/id-6c65783a696e74657276696577"
"W100","partner","der Partner / die Partnerin","die Partner / die Partnerinnen","W100, W101","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w100/","/vocabulary/id-6c65783a706172746e6572, /vocabulary/id-6c65783a706172746e6572696e"
"W102","sentence","der Satz","die Sätze","W102","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w102/",""
"W103","point / full stop","der Punkt","die Punkte","W103","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w103/",""
"W104","number","die Zahl","die Zahlen","W104","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w104/",""
"W105","riddle / puzzle","das Rätsel","die Rätsel","W105","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w105/",""
"W106","single person","der Single","die Singles","W106","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w106/","/vocabulary/id-6c65783a73696e676c65"
"W107","company","die Firma","die Firmen","W107","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w107/","/vocabulary/id-6c65783a6669726d61"
"W108","job","der Job","die Jobs","W108","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w108/","/vocabulary/id-6c65783a6a6f62"
"W109","occupation / profession","der Beruf","die Berufe","W109","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w109/","/vocabulary/id-6c65783a6265727566"
"W110","job / position","die Stelle","die Stellen","W110","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w110/","/vocabulary/id-6c65783a7374656c6c65"
"W111","vocational training / apprenticeship","die Ausbildung","die Ausbildungen","W111","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w111/","/vocabulary/id-6c65783a61757362696c64756e67"
"W112","internship / work placement","das Praktikum","die Praktika","W112","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w112/","/vocabulary/id-6c65783a7072616b74696b756d"
"W113","moment","der Moment","die Momente","W113","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w113/",""
"W114","origin","die Herkunft","","W114","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w114/","/vocabulary/id-6c65783a6865726b756e6674"
"W115","place of residence","der Wohnort","die Wohnorte","W115","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w115/","/vocabulary/id-6c65783a776f686e6f7274"
"W116","age","das Alter","","W116","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w116/","/vocabulary/id-6c65783a616c746572"
"W117","marital status","der Familienstand","","W117","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w117/","/vocabulary/id-6c65783a66616d696c69656e7374616e64"
"W118","university studies","das Studium","","W118","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w118/","/vocabulary/id-6c65783a7374756469756d"
"W119","animal","das Tier","die Tiere","W119","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w119/",""
"W120","parcel delivery worker","der Paketzusteller / die Paketzustellerin","die Paketzusteller / die Paketzustellerinnen","W120, W121","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w120/","/vocabulary/id-6c65783a70616b65747a757374656c6c6572, /vocabulary/id-6c65783a70616b65747a757374656c6c6572696e"
"W122","hairdresser","der Friseur / die Friseurin","die Friseure / die Friseurinnen","W122, W123","5","https://hrezaii95.github.io/german-learning-exam/vocabulary/w122/","/vocabulary/id-6c65783a66726973657572, /vocabulary/id-6c65783a66726973657572696e, /collections/professions/05"
"W124","waiter / server","der Kellner / die Kellnerin","die Kellner / die Kellnerinnen","W124, W125","17","https://hrezaii95.github.io/german-learning-exam/vocabulary/w124/","/vocabulary/id-6c65783a6b656c6c6e6572, /vocabulary/id-6c65783a6b656c6c6e6572696e, /collections/professions/17"
"W126","engineer","der Ingenieur / die Ingenieurin","die Ingenieure / die Ingenieurinnen","W126, W127","24","https://hrezaii95.github.io/german-learning-exam/vocabulary/w126/","/vocabulary/id-6c65783a696e67656e69657572, /vocabulary/id-6c65783a696e67656e69657572696e, /collections/professions/24"
"W128","automotive mechatronics technician","der Kfz-Mechatroniker / die Kfz-Mechatronikerin","die Kfz-Mechatroniker / die Kfz-Mechatronikerinnen","W128, W129","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w128/","/vocabulary/id-6c65783a6b667a2d6d6563686174726f6e696b6572, /vocabulary/id-6c65783a6b667a2d6d6563686174726f6e696b6572696e"
"W130","university student","der Student / die Studentin","die Studenten / die Studentinnen","W130, W131","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w130/","/vocabulary/id-6c65783a73747564656e74, /vocabulary/id-6c65783a73747564656e74696e"
"W132","journalist","der Journalist / die Journalistin","die Journalisten / die Journalistinnen","W132, W133","46","https://hrezaii95.github.io/german-learning-exam/vocabulary/w132/","/vocabulary/id-6c65783a6a6f75726e616c697374, /vocabulary/id-6c65783a6a6f75726e616c697374696e, /collections/professions/46"
"W134","architect","der Architekt / die Architektin","die Architekten / die Architektinnen","W134, W135","12","https://hrezaii95.github.io/german-learning-exam/vocabulary/w134/","/vocabulary/id-6c65783a617263686974656b74, /vocabulary/id-6c65783a617263686974656b74696e, /collections/professions/12"
"W136","doctor","der Arzt / die Ärztin","die Ärzte / die Ärztinnen","W136, W137","23","https://hrezaii95.github.io/german-learning-exam/vocabulary/w136/","/vocabulary/id-6c65783a6165727a74696e, /vocabulary/id-6c65783a61727a74, /collections/professions/23"
"W138","teacher","der Lehrer / die Lehrerin","die Lehrer / die Lehrerinnen","W138, W139","13","https://hrezaii95.github.io/german-learning-exam/vocabulary/w138/","/vocabulary/id-6c65783a6c6568726572, /vocabulary/id-6c65783a6c6568726572696e, /collections/professions/13"
"W140","shop assistant / salesperson","der Verkäufer / die Verkäuferin","die Verkäufer / die Verkäuferinnen","W140, W141","19","https://hrezaii95.github.io/german-learning-exam/vocabulary/w140/","/vocabulary/id-6c65783a7665726b616575666572, /vocabulary/id-6c65783a7665726b616575666572696e, /collections/professions/19"
"W142","school pupil","der Schüler / die Schülerin","die Schüler / die Schülerinnen","W142, W143","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w142/","/vocabulary/id-6c65783a73636875656c6572, /vocabulary/id-6c65783a73636875656c6572696e"
"W144","retired person / pensioner","der Rentner / die Rentnerin","die Rentner / die Rentnerinnen","W144, W145","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w144/","/vocabulary/id-6c65783a72656e746e6572, /vocabulary/id-6c65783a72656e746e6572696e"
"W146","veterinarian","der Tierarzt / die Tierärztin","die Tierärzte / die Tierärztinnen","W146, W147","34","https://hrezaii95.github.io/german-learning-exam/vocabulary/w146/","/collections/professions/34"
"W148","actor","der Schauspieler / die Schauspielerin","die Schauspieler / die Schauspielerinnen","W148, W149","20","https://hrezaii95.github.io/german-learning-exam/vocabulary/w148/","/collections/professions/20"
"W150","singer","der Sänger / die Sängerin","die Sänger / die Sängerinnen","W150, W151","33","https://hrezaii95.github.io/german-learning-exam/vocabulary/w150/","/collections/professions/33"
"W152","nurse","die Krankenschwester / der Krankenpfleger","die Krankenschwestern / die Krankenpfleger","W152, W270","28","https://hrezaii95.github.io/german-learning-exam/vocabulary/w152/","/collections/professions/28"
"W153","Thank you very much!","Vielen Dank!","","W153","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w153/",""
"W154","thanks / gratitude","der Dank","","W154","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w154/",""
"W155","freight forwarding company","die Speditionsfirma","die Speditionsfirmen","W155","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w155/",""
"W156","opera / opera house","die Oper","die Opern","W156","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w156/",""
"W157","or / right?","oder","","W157","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w157/",""
"W158","for","für","","W158","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w158/",""
"W159","more","mehr","","W159","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w159/",""
"W160","finished / ready","fertig","","W160","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w160/",""
"W161","already","schon","","W161","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w161/",""
"W162","text","der Text","die Texte","W162","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w162/","/vocabulary/id-6c65783a74657874"
"W163","Mexico","Mexiko","","W163","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w163/",""
"W164","Portugal","Portugal","","W164","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w164/",""
"W165","medicine (field of study)","die Medizin","","W165","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w165/",""
"W166","telephone number","die Telefonnummer","die Telefonnummern","W166","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w166/",""
"W167","mechanic","der Mechaniker / die Mechanikerin","die Mechaniker / die Mechanikerinnen","W167, W168","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w167/",""
"W169","to think / believe","glauben","","W169","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w169/",""
"W170","to plan","planen","","W170","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w170/",""
"W171","to speak","sprechen","","W171","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w171/",""
"W172","your (one person, informal)","dein / deine","","W172","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w172/",""
"W173","no","nein","","W173","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w173/",""
"W174","yes (contradicting a negative question or claim)","doch","","W174","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w174/",""
"W175","which","welche","","W175","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w175/",""
"W176","a little (bit)","ein bisschen","","W176","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w176/",""
"W177","not at all","gar nicht","","W177","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w177/",""
"W178","a / an; one","ein / eine","","W178","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w178/",""
"W179","family","die Familie","die Familien","W179","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w179/",""
"W180","mother","die Mutter","die Mütter","W180","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w180/",""
"W181","father","der Vater","die Väter","W181","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w181/",""
"W182","sister","die Schwester","die Schwestern","W182","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w182/",""
"W183","uncle","der Onkel","die Onkel","W183","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w183/",""
"W184","grandma","die Oma","die Omas","W184","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w184/",""
"W185","grandchild","das Enkelkind","die Enkelkinder","W185","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w185/",""
"W186","parents","die Eltern","","W186","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w186/",""
"W187","son","der Sohn","die Söhne","W187","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w187/",""
"W188","daughter","die Tochter","die Töchter","W188","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w188/",""
"W189","brother","der Bruder","die Brüder","W189","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w189/",""
"W190","siblings","die Geschwister","","W190","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w190/",""
"W191","grandfather","der Großvater","die Großväter","W191","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w191/",""
"W192","grandmother","die Großmutter","die Großmütter","W192","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w192/",""
"W193","grandparents","die Großeltern","","W193","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w193/",""
"W194","grandson / granddaughter","der Enkel / die Enkelin","die Enkel / die Enkelinnen","W194, W195","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w194/",""
"W196","husband","der Ehemann","die Ehemänner","W196","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w196/",""
"W197","wife","die Ehefrau","die Ehefrauen","W197","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w197/",""
"W198","relative","der Verwandte / die Verwandte","die Verwandten / die Verwandten","W198, W199","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w198/",""
"W200","aunt","die Tante","die Tanten","W200","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w200/",""
"W201","man / husband","der Mann","die Männer","W201","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w201/",""
"W202","dad","der Papa","die Papas","W202","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w202/",""
"W203","mum / mom","die Mama","die Mamas","W203","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w203/",""
"W204","grandpa","der Opa","die Opas","W204","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w204/",""
"W205","celebration / party","das Fest","die Feste","W205","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w205/",""
"W206","list","die Liste","die Listen","W206","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w206/",""
"W207","member","das Mitglied","die Mitglieder","W207","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w207/",""
"W208","language","die Sprache","die Sprachen","W208","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w208/",""
"W209","Poland","Polen","","W209","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w209/",""
"W210","Spanish","Spanisch","","W210","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w210/",""
"W211","English","Englisch","","W211","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w211/",""
"W212","Russian","Russisch","","W212","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w212/",""
"W213","Chinese","Chinesisch","","W213","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w213/",""
"W214","Polish","Polnisch","","W214","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w214/",""
"W215","French","Französisch","","W215","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w215/",""
"W216","Italian","Italienisch","","W216","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w216/",""
"W217","Turkish","Türkisch","","W217","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w217/",""
"W218","German","Deutsch","","W218","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w218/",""
"W219","short personal profile","der Steckbrief","die Steckbriefe","W219","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w219/",""
"W220","letter","der Brief","die Briefe","W220","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w220/",""
"W221","family member","das Familienmitglied","die Familienmitglieder","W221","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w221/",""
"W222","family celebration","das Familienfest","die Familienfeste","W222","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w222/",""
"W223","mechatronics technician","der Mechatroniker / die Mechatronikerin","die Mechatroniker / die Mechatronikerinnen","W223, W224","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w223/",""
"W225","Italy","Italien","","W225","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w225/",""
"W226","Sweden","Schweden","","W226","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w226/",""
"W227","China","China","","W227","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w227/",""
"W228","England","England","","W228","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w228/",""
"W229","Swedish","Schwedisch","","W229","","https://hrezaii95.github.io/german-learning-exam/vocabulary/w229/",""
"W230","Electrician","der Elektriker / die Elektrikerin","die Elektriker / die Elektrikerinnen","W230, W231","1","https://hrezaii95.github.io/german-learning-exam/vocabulary/w230/","/collections/professions/01"
