# Card ID|App-authored German model|English translation|Memory or usage cue
W328|Die Stadt liegt im Nordosten.|The city is in the northeast.|Nord + Osten makes Nordosten.
W329|Die Stadt liegt im Südosten.|The city is in the southeast.|Süd + Osten makes Südosten.
W330|Die Stadt liegt im Südwesten.|The city is in the southwest.|Süd + Westen makes Südwesten.
W331|Die Stadt liegt im Nordwesten.|The city is in the northwest.|Nord + Westen makes Nordwesten.
W332|Deutschland liegt in Europa.|Germany is in Europe.|Use in Europa without an article in this sentence.
W333|China liegt in Asien.|China is in Asia.|Use in Asien without an article in this sentence.
W334|Kanada liegt in Nordamerika.|Canada is in North America.|Nord + Amerika; use in Nordamerika for location.
W335|Europa ist ein Kontinent.|Europe is a continent.|Kontinent resembles English continent; remember der.
W336|Der Mensch spricht.|The person is speaking.|Mensch → Menschen. It refers to a human being, regardless of gender.
W337|Ich studiere Robotik.|I study robotics.|Robotik names the field; use studieren for a university subject.
W338|Mein Handy ist neu.|My mobile phone is new.|German Handy means mobile phone, not the English adjective handy.
W339|Das ist ein Foto von meiner Familie.|That is a photo of my family.|Foto → Fotos; learn das Foto with the article.
W340|Meine Muttersprache ist Persisch.|My native language is Persian.|Mutter + Sprache: mother tongue. Persisch means Persian.
W341|Deutsch ist eine Fremdsprache für mich.|German is a foreign language for me.|Fremd- points to foreign or unfamiliar.
W342|Menschen lernen überall auf der Welt Deutsch.|People learn German all over the world.|Learn auf der Welt as a location phrase.
W343|Das ist eine Million.|That is one million.|Million is a noun, with a capital M and article die.
W344|Die Region ist interessant.|The region is interesting.|Region resembles English; learn the -en plural.
W345|Das ist mein Freund. / Das ist meine Freundin.|That is my friend.|Freund/Freundin can also mean boyfriend/girlfriend in context.
W347|Das ist supercool!|That is really cool!|An informal enthusiastic reaction.
W348|Ich lerne noch Deutsch.|I am still learning German.|Here noch means still; its meaning depends on the phrase.
W349|Ich lerne viel.|I study a lot.|viel refers to a large amount.
W350|Ich wohne hier.|I live here.|hier points to this place.
W351|Ich spreche nur Deutsch.|I speak only German.|nur limits the statement: only German.
W352|Er ist etwa 30 Jahre alt.|He is about 30 years old.|etwa makes the number approximate.
W353|Das ist anders.|That is different.|anders expresses a difference.
W354|Überall lernen Menschen Deutsch.|People are learning German everywhere.|überall means in every place.
W355|Die Region ist deutschsprachig.|The region is German-speaking.|Deutsch + sprachig: German-speaking.
W356|Warum lernst du Deutsch?|Why are you learning German?|warum asks for a reason.
W357|Ich lerne gern Deutsch.|I like learning German.|gern expresses liking an activity; English often uses like + -ing.
W358|Sag mal, woher kommst du?|Tell me, where are you from?|In Sag mal, mal softens the request; do not translate it word for word.
W370|Ich bin Auszubildender. / Ich bin Auszubildende.|I am a trainee.|Article-sensitive endings: der Auszubildende, but ein Auszubildender.
W392|Die Konferenz ist in Berlin.|The conference is in Berlin.|Konferenz → Konferenzen.
W393|Mein Profil ist fertig.|My profile is finished.|A Profil collects personal or professional information.
W394|Das ist meine Visitenkarte.|That is my business card.|A Visitenkarte carries contact details.
W395|Meine Abteilung ist hier.|My department is here.|Abteilung appears at the end of longer department names.
W396|Wie ist Ihre E-Mail-Adresse?|What is your email address?|Practise spelling the address aloud.
W397|Die Homepage ist neu.|The website is new.|Homepage is a borrowed word; remember die.
W398|Die Stadt heißt Berlin.|The city is called Berlin.|Stadt → Städte: notice ä and -e.
W399|Wie heißt die Straße?|What is the street called?|Straße uses ß; its plural adds -n.
W400|Meine Hausnummer ist 12.|My house number is 12.|Haus + Nummer; remember the feminine final noun Nummer.
W401|Ich arbeite in der Personalabteilung.|I work in the human resources department.|Personal + Abteilung; learn in der Personalabteilung as a phrase.
W402|Ich arbeite in der Marketingabteilung.|I work in the marketing department.|Marketing + Abteilung; the final noun determines the article.
W403|Ich arbeite in der IT-Abteilung.|I work in the IT department.|Keep the hyphen after the abbreviation IT.
W404|Ich arbeite im Marketing.|I work in marketing.|im Marketing is a common work-field phrase.
W405|Wie ist deine Adresse?|What is your address?|Adresse has a double s.
W406|Mein Hobby ist Musik.|My hobby is music.|Hobby → Hobbys; German keeps y before plural s.
W407|Das Formular ist fertig.|The form is complete.|A Formular is a form you fill in.
W408|Mein Nachname ist Müller.|My surname is Müller.|Nachname and Familienname both mean surname.
W409|Wie ist die Postleitzahl?|What is the postal code?|Post + Leit + Zahl: the number used in a postal address.
W410|Der Ort heißt Bonn.|The town is called Bonn.|Ort can mean a place or a town.
W411|Meine Wohnung ist in Berlin.|My flat is in Berlin.|Wohnung connects to wohnen.
W412|Die Nachricht ist von Sara.|The message is from Sara.|Nachricht names a message; Nachrichten can also mean news.
W413|Mein Beruf ist interessant.|My profession is interesting.|Use interessant to describe something that interests you.
W414|Ich bin ledig.|I am unmarried.|ledig means never married; compare verheiratet and geschieden.
W415|Mein Handy ist neu.|My mobile phone is new.|neu means new; compare alt.
W416|Also, ich heiße Sara.|Well, my name is Sara.|German also means so/well/then; it does not mean English also.
W417|Das freut mich.|I am pleased to hear that.|Learn mich in Das freut mich.
W418|Ist das Ihr Sohn?|Is that your son?|Formal Ihr starts with a capital I; feminine: Ihre Tochter.
W419|Das ist mein Kollege. / Das ist meine Kollegin.|That is my colleague.|Kollege loses its final e before feminine -in: Kollegin.
W461|Die Aufgabe ist fertig.|The task is finished.|Aufgabe is a task or an exercise to complete.
W462|Wir machen die Übung.|We are doing the exercise.|Link Übung to üben: to practise.
W463|Wie heißt das Wort auf Deutsch?|What is the word in German?|Wort → Wörter for individual vocabulary items.
W464|Das Bild zeigt eine Familie.|The picture shows a family.|Bild → Bilder; zeigt means shows.
W465|Das Bildlexikon zeigt Berufe.|The picture dictionary shows professions.|Bild + Lexikon; remember the plural Bildlexika.
W466|Das Buch ist interessant.|The book is interesting.|Buch → Bücher: notice ü and -er.
W467|Das Wort steht im Wörterbuch.|The word is in the dictionary.|Wörter + Buch; im Wörterbuch means in the dictionary.
W468|Das Wort steht im Online-Wörterbuch.|The word is in the online dictionary.|Online + Wörterbuch; keep the hyphen.
W469|Der Kurs ist in Berlin.|The course is in Berlin.|Kurs can mean the course or class.
W470|Ich mache einen Deutschkurs.|I am taking a German course.|Deutsch + Kurs; use machen for taking this course.
W471|Die Person heißt Sara.|The person's name is Sara.|Person is grammatically feminine regardless of the person's gender.
W472|Wir arbeiten in einer Gruppe.|We are working in a group.|Gruppe has a double p; plural Gruppen.
W473|Die Tabelle ist fertig.|The table is complete.|A Tabelle arranges information in rows and columns.
W474|Ich habe eine Frage.|I have a question.|A useful classroom phrase: Ich habe eine Frage.
W475|Die Antwort ist richtig.|The answer is correct.|Pair Frage with Antwort: question and answer.
W476|Die Lösung ist richtig.|The solution is correct.|Lösung connects to lösen: solve.
W477|Der Sitzplan zeigt die Namen.|The seating plan shows the names.|Sitz + Plan; plural Sitzpläne.
W478|Der Name steht auf dem Zettel.|The name is on the slip of paper.|Zettel has the same word form in singular and plural.
W479|Das ist ein Beispiel.|That is an example.|Learn zum Beispiel as the common phrase for for example.
W480|Meine Nummer ist 12.|My number is 12.|Nummer often labels an assigned number; Zahl names a number itself.
W481|Eine Minute, bitte!|One minute, please!|A useful short request; plural Minuten.
W482|Das Spiel ist interessant.|The game is interesting.|Spiel connects to spielen: play.
W483|Wir spielen ein Würfelspiel.|We are playing a dice game.|Würfel + Spiel; the final noun gives das.
W484|Die Spielfigur ist hier.|The playing piece is here.|Spiel + Figur; the final noun gives die.
W485|Wir lösen die Rechenaufgabe.|We are solving the arithmetic problem.|Rechen + Aufgabe: a calculation task.
W486|Ergänzen Sie die Lücke.|Fill in the gap.|A common classroom instruction; plural Lücken.
W487|Die Angabe ist richtig.|The detail is correct.|Angaben are individual details entered on a form.
W488|Das ist mein Stammbaum.|That is my family tree.|Stammbaum shows family relationships; plural Stammbäume.
W489|Wir üben die Aussprache.|We are practising pronunciation.|Aussprache connects to speaking; learn it as a singular topic word.
W490|Markieren Sie den Wortakzent.|Mark the word stress.|Wort + Akzent: the stressed part of a word.
W491|Das Wort hat zwei Silben.|The word has two syllables.|Silbe → Silben; count the syllables as you say a word.
W492|Hören Sie die Satzmelodie.|Listen to the sentence intonation.|Satz + Melodie: the rise and fall of the voice in a sentence.
W493|Lernen ist ein Verb.|Lernen is a verb.|German Verb resembles English verb; remember das.
W494|Wo wohnst du? — Das ist eine W-Frage.|Where do you live? — That is a question-word question.|A W-Frage starts with a question word such as wo, wer or was.
W495|Wohnst du hier? — Das ist eine Ja-/Nein-Frage.|Do you live here? — That is a yes/no question.|The conjugated verb comes first in this question.
W496|Ich wohne hier. — Das ist eine Aussage.|I live here. — That is a statement.|In the model statement, the conjugated verb is in second position.
W497|Lesen Sie. Dann schreiben Sie.|Read. Then write.|dann puts the second step after the first.
W498|Hören Sie noch einmal.|Listen once again.|noch einmal means one more time.
W499|Lesen Sie weiter.|Continue reading.|weiter means continue or further in this instruction.
W500|Arbeiten Sie zu zweit.|Work in pairs.|zu zweit means two people working together.
W501|Arbeiten Sie zu dritt.|Work in groups of three.|zu dritt means three people working together.
W502|Schreiben Sie selbst einen Satz.|Write a sentence yourself.|selbst emphasises doing it yourself.
W503|Ich lerne mit Sara.|I study with Sara.|mit connects you with another person.
W504|Wir sprechen über die Familie.|We are talking about the family.|Use sprechen über for the topic you talk about.
W505|Das Buch liegt auf dem Tisch.|The book is on the table.|Learn the location phrase auf dem Tisch; Tisch means table.
W506|Nach dem Kurs lerne ich Deutsch.|After the class, I study German.|Here nach means after; learn nach dem Kurs as a chunk.
W519|Wir sind im Kursraum.|We are in the classroom.|Kurs + Raum; plural Kursräume.
W520|Wir sehen einen Film.|We are watching a film.|Film is similar to English; remember der and plural Filme.
W521|Das ist die Flagge von Deutschland.|That is the flag of Germany.|Flagge has a double g; plural Flaggen.
W522|Ich schreibe eine Notiz.|I am writing a note.|Notiz → Notizen.
W523|Die Kursstatistik zeigt unsere Sprachen.|The class statistics show our languages.|Kurs + Statistik; unsere means our.
W524|Die Prüfung ist fertig.|The examination is finished.|Prüfung means examination; remember the umlaut.
W525|Die Vorbereitung ist wichtig.|The preparation is important.|Vorbereitung is preparation; wichtig means important.
W526|Das Mikrofon ist hier.|The microphone is here.|Mikrofon resembles microphone; remember das.
W527|Die Sprechblase zeigt einen Satz.|The speech bubble shows a sentence.|Sprech + Blase: a bubble containing speech.
W528|Das ist unser Kursleiter. / Das ist unsere Kursleiterin.|That is our course instructor.|Kurs + Leiter; unser/unsere means our.
W530|Lesen Sie laut.|Read aloud.|laut can mean aloud or loud; here it describes how to read.
W531|Ich bin arbeitslos.|I am unemployed.|Arbeit + -los: without work.
W532|Ich arbeite bei einer Elektronikfirma.|I work for an electronics company.|Elektronik + Firma; the final noun determines the article.
W534|Das ist türkisch.|That is Turkish.|The adjective türkisch is lowercase; the language name Türkisch is uppercase.
W538|Der Kurs dauert eine Stunde.|The class lasts one hour.|Stunde can mean an hour or a lesson; dauert means lasts.
W539|Wir spielen ein Kettenspiel.|We are playing a chain game.|Kette + Spiel: each person's turn links to the previous one.
W540|Wir machen einen Kursspaziergang.|We are doing a class mingling activity.|Kurs + Spaziergang: walk around the class and speak with others.
W541|Ich habe eine Rückfrage.|I have a clarification question.|Rückfrage asks for more detail or clarification.
W542|Viel Glück!|Good luck!|Learn Viel Glück as one good-wishes phrase.
W543|Achtung! Hören Sie zu!|Attention! Listen!|Achtung draws attention to something important.
W459|Klatschen Sie die Silben.|Clap the syllables.|Clap once for each syllable while saying the word.
