id,lemma,article,display,gender,meaningEn,masculine,feminine,plural,pluralGap,pic,audioUrl,audioSpoken,audioState,pluralAudio,exampleDe,exampleEn,lesson,cardUrl
"lex:familienstand","Familienstand","der","der Familienstand","masculine","marital status","der Familienstand","","","The plural form is not available yet.","no (meaning plate)","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-8129bc89560d926c.mp3","der Familienstand","preview","","","","lesson:02","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a66616d696c69656e7374616e64"
"lex:firma","Firma","die","die Firma","feminine","company","","die Firma","Firmen","","no (meaning plate)","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-927bb49f1fa2a332.mp3","die Firma","preview","","","","lesson:02","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a6669726d61"
"lex:frankreich","Frankreich","","Frankreich","","France","","","","","no (meaning plate)","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-6365760ae1ba1eb5.mp3","Frankreich","preview","","","","lesson:01","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a6672616e6b7265696368"
"lex:frau","Frau","die","die Frau","feminine","Ms / Mrs / woman","","die Frau","Frauen","","no (meaning plate)","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-86d4dc95732c901f.mp3","die Frau","preview","","","","lesson:01","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a66726175"
"lex:friseur","Friseur","der","der Friseur","masculine","hairdresser","der Friseur","die Friseurin","Friseure","","yes","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-5f9319941cc9793b.mp3","der Friseur","preview","","","","lesson:02","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a66726973657572"
"lex:friseurin","Friseurin","die","die Friseurin","feminine","hairdresser","","die Friseurin","Friseurinnen","","yes","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-0406a60db0932ccd.mp3","die Friseurin","preview","","","","lesson:02","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a66726973657572696e"
"lex:geschieden","geschieden","","geschieden","","divorced","","","","","no (meaning plate)","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-24e6b1580a7ec0aa.mp3","geschieden","preview","","","","lesson:02","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a6765736368696564656e"
"lex:gut-danke","Gut, danke.","","Gut, danke.","","Fine, thank you.","","","","","no (meaning plate)","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-3a7e225e0e49a58a.mp3","Gut, danke.","preview","","","","lesson:01","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a6775742d64616e6b65"
"lex:gute-nacht","Gute Nacht","","Gute Nacht","","Good night","","","","","no (meaning plate)","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-1a88dbfbc73aecbd.mp3","Gute Nacht","preview","","","","lesson:01","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a677574652d6e61636874"
"lex:guten-abend","Guten Abend","","Guten Abend","","Good evening","","","","","no (meaning plate)","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-fa5eacd79f716293.mp3","Guten Abend","preview","","","","lesson:01","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a677574656e2d6162656e64"
"lex:guten-morgen","Guten Morgen","","Guten Morgen","","Good morning","","","","","no (meaning plate)","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-c872cd6d08e13b1c.mp3","Guten Morgen","preview","","","","lesson:01","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a677574656e2d6d6f7267656e"
"lex:guten-tag","Guten Tag","","Guten Tag","","Good day / Hello","","","","","no (meaning plate)","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-6b973d266dfceb93.mp3","Guten Tag","preview","","","","lesson:01","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a677574656e2d746167"
"lex:hallo","Hallo","","Hallo","","Hello","","","","","no (meaning plate)","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-753692ec36adb4c7.mp3","Hallo","preview","","","","lesson:01","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a68616c6c6f"
"lex:herkunft","Herkunft","die","die Herkunft","feminine","origin","","die Herkunft","","The plural form is not available yet.","no (meaning plate)","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-29c752cd40a2185c.mp3","die Herkunft","preview","","","","lesson:02","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a6865726b756e6674"
"lex:herr","Herr","der","der Herr","masculine","Mr / gentleman","der Herr","","Herren","","no (meaning plate)","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-f85dfe36d5fdc12e.mp3","der Herr","preview","","","","lesson:01","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a68657272"
"lex:ingenieur","Ingenieur","der","der Ingenieur","masculine","engineer","der Ingenieur","die Ingenieurin","Ingenieure","","yes","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-e35c3d3e17dd4e01.mp3","der Ingenieur","preview","","","","lesson:02","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a696e67656e69657572"
"lex:ingenieurin","Ingenieurin","die","die Ingenieurin","feminine","engineer","","die Ingenieurin","Ingenieurinnen","","yes","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-364993bc52161c56.mp3","die Ingenieurin","preview","","","","lesson:02","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a696e67656e69657572696e"
"lex:jahr","Jahr","das","das Jahr","neuter","year","","","Jahre","","no (meaning plate)","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-3514df498a8fd952.mp3","das Jahr","preview","","","","lesson:02","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a6a616872"
"lex:job","Job","der","der Job","masculine","job","der Job","","Jobs","","no (meaning plate)","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-75c9561d41a7e4d0.mp3","der Job","preview","","","","lesson:02","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a6a6f62"
"lex:journalist","Journalist","der","der Journalist","masculine","journalist","der Journalist","die Journalistin","Journalisten","","yes","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-024e4d5bb888be9b.mp3","der Journalist","preview","","","","lesson:02","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a6a6f75726e616c697374"
"lex:journalistin","Journalistin","die","die Journalistin","feminine","journalist","","die Journalistin","Journalistinnen","","yes","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-ecf0a4be8f4b7ca2.mp3","die Journalistin","preview","","","","lesson:02","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a6a6f75726e616c697374696e"
"lex:kellner","Kellner","der","der Kellner","masculine","waiter / waitress","der Kellner","die Kellnerin","Kellner","","yes","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-2e23404ffca2c901.mp3","der Kellner","preview","","","","lesson:02","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a6b656c6c6e6572"
"lex:kellnerin","Kellnerin","die","die Kellnerin","feminine","waiter / waitress","","die Kellnerin","Kellnerinnen","","yes","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-99a4ecfa6f690230.mp3","die Kellnerin","preview","","","","lesson:02","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a6b656c6c6e6572696e"
"lex:kfz-mechatroniker","Kfz-Mechatroniker","der","der Kfz-Mechatroniker","masculine","automotive mechatronics engineer","der Kfz-Mechatroniker","die Kfz-Mechatronikerin","Kfz-Mechatroniker","","yes","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-694d6580756afc58.mp3","der Kfz-Mechatroniker","preview","","","","lesson:02","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a6b667a2d6d6563686174726f6e696b6572"
"lex:kfz-mechatronikerin","Kfz-Mechatronikerin","die","die Kfz-Mechatronikerin","feminine","automotive mechatronics engineer","","die Kfz-Mechatronikerin","Kfz-Mechatronikerinnen","","yes","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-7597a282753212ec.mp3","die Kfz-Mechatronikerin","preview","","","","lesson:02","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a6b667a2d6d6563686174726f6e696b6572696e"
"lex:kind","Kind","das","das Kind","neuter","child","","","Kinder","","no (meaning plate)","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-1bf9a16f327c342b.mp3","das Kind","preview","","","","lesson:02","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a6b696e64"
"lex:lehrer","Lehrer","der","der Lehrer","masculine","teacher","der Lehrer","die Lehrerin","Lehrer","","yes","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-c8c3576e9fbd39ff.mp3","der Lehrer","preview","","","","lesson:02","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a6c6568726572"
"lex:lehrerin","Lehrerin","die","die Lehrerin","feminine","teacher","","die Lehrerin","Lehrerinnen","","yes","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-a781c79805eb0ca7.mp3","die Lehrerin","preview","","","","lesson:02","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a6c6568726572696e"
"lex:name","Name","der","der Name","masculine","name","der Name","","Namen","","no (meaning plate)","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-dfbef7017aec5501.mp3","der Name","preview","","","","lesson:01","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a6e616d65"
"lex:nicht-so-gut","Nicht so gut.","","Nicht so gut.","","Not so well.","","","","","no (meaning plate)","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-27a3206e9189743e.mp3","Nicht so gut.","preview","","","","lesson:01","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a6e696368742d736f2d677574"
"lex:oesterreich","Österreich","","Österreich","","Austria","","","","","no (meaning plate)","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-b1b763860d4f30c2.mp3","Österreich","preview","","","","lesson:01","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a6f65737465727265696368"
"lex:paketzusteller","Paketzusteller","der","der Paketzusteller","masculine","parcel delivery agent","der Paketzusteller","die Paketzustellerin","Paketzusteller","","yes","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-96c3f14ad104f054.mp3","der Paketzusteller","preview","","","","lesson:02","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a70616b65747a757374656c6c6572"
"lex:paketzustellerin","Paketzustellerin","die","die Paketzustellerin","feminine","parcel delivery agent","","die Paketzustellerin","Paketzustellerinnen","","yes","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-f61126e82c6643b0.mp3","die Paketzustellerin","preview","","","","lesson:02","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a70616b65747a757374656c6c6572696e"
"lex:praktikum","Praktikum","das","das Praktikum","neuter","internship","","","Praktika","","no (meaning plate)","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-97dd6c846554c664.mp3","das Praktikum","preview","","","","lesson:02","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a7072616b74696b756d"
"lex:rentner","Rentner","der","der Rentner","masculine","pensioner","der Rentner","die Rentnerin","Rentner","","yes","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-46d4120aefb3db98.mp3","der Rentner","preview","","","","lesson:02","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a72656e746e6572"
"lex:rentnerin","Rentnerin","die","die Rentnerin","feminine","pensioner","","die Rentnerin","Rentnerinnen","","yes","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-d6fe2f024b6ff8e3.mp3","die Rentnerin","preview","","","","lesson:02","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a72656e746e6572696e"
"lex:schueler","Schüler","der","der Schüler","masculine","school student","der Schüler","die Schülerin","Schüler","","yes","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-82409188e9ecda4f.mp3","der Schüler","preview","","","","lesson:02","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a73636875656c6572"
"lex:schuelerin","Schülerin","die","die Schülerin","feminine","school student","","die Schülerin","Schülerinnen","","yes","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-1568efb25e819544.mp3","die Schülerin","preview","","","","lesson:02","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a73636875656c6572696e"
"lex:schweiz","Schweiz","die","die Schweiz","feminine","Switzerland","","die Schweiz","","The plural form is not available yet.","no (meaning plate)","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-54e06fd517ce5f0e.mp3","die Schweiz","preview","","","","lesson:01","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a7363687765697a"
"lex:sehr-gut-danke","Sehr gut, danke.","","Sehr gut, danke.","","Very well, thank you.","","","","","no (meaning plate)","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-e84df9345c8a8090.mp3","Sehr gut, danke.","preview","","","","lesson:01","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a736568722d6775742d64616e6b65"
"lex:single","Single","der","der Single","masculine","single person","der Single","","Singles","","no (meaning plate)","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-179e27c03454d9db.mp3","der Single","preview","","","","lesson:02","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a73696e676c65"
"lex:spanien","Spanien","","Spanien","","Spain","","","","","no (meaning plate)","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-6977d57accf6e34b.mp3","Spanien","preview","","","","lesson:01","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a7370616e69656e"
"lex:stelle","Stelle","die","die Stelle","feminine","position/job","","die Stelle","Stellen","","no (meaning plate)","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-0b47e3e32b5a2a70.mp3","die Stelle","preview","","","","lesson:02","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a7374656c6c65"
"lex:student","Student","der","der Student","masculine","university student","der Student","die Studentin","Studenten","","yes","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-0bc3d512ba27fc05.mp3","der Student","preview","","","","lesson:02","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a73747564656e74"
"lex:studentin","Studentin","die","die Studentin","feminine","university student","","die Studentin","Studentinnen","","yes","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-c97661eb9f919a25.mp3","die Studentin","preview","","","","lesson:02","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a73747564656e74696e"
"lex:studium","Studium","das","das Studium","neuter","studies","","","","The plural form is not available yet.","no (meaning plate)","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-7dc753eb9fb9c6f5.mp3","das Studium","preview","","","","lesson:02","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a7374756469756d"
"lex:super","Super!","","Super!","","Great!","","","","","no (meaning plate)","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-e5931b846e6a58bc.mp3","Super!","preview","","","","lesson:01","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a7375706572"
"lex:tschues","Tschüs","","Tschüs","","Bye","","","","","no (meaning plate)","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-cda2dfd43fca1ece.mp3","Tschüs","preview","","","","lesson:01","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a74736368756573"
"lex:tuerkei","Türkei","die","die Türkei","feminine","Turkey","","die Türkei","","The plural form is not available yet.","no (meaning plate)","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-c26c9a1b6dec2af6.mp3","die Türkei","preview","","","","lesson:01","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a747565726b6569"
"lex:usa","USA","die","die USA","feminine","USA","","die USA","","The plural form is not available yet.","no (meaning plate)","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-3261a609a298ce3b.mp3","die USA","preview","","","","lesson:01","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a757361"
"lex:verheiratet","verheiratet","","verheiratet","","married","","","","","no (meaning plate)","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-b98f104a1cad9f27.mp3","verheiratet","preview","","","","lesson:02","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a7665726865697261746574"
"lex:verkaeufer","Verkäufer","der","der Verkäufer","masculine","shop assistant","der Verkäufer","die Verkäuferin","Verkäufer","","yes","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-99e33c36b3d77cd7.mp3","der Verkäufer","preview","","","","lesson:02","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a7665726b616575666572"
"lex:verkaeuferin","Verkäuferin","die","die Verkäuferin","feminine","shop assistant","","die Verkäuferin","Verkäuferinnen","","yes","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-ae8547478d451962.mp3","die Verkäuferin","preview","","","","lesson:02","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a7665726b616575666572696e"
"lex:vorname","Vorname","der","der Vorname","masculine","first name","der Vorname","","Vornamen","","no (meaning plate)","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-ea30e996b5e54668.mp3","der Vorname","preview","","","","lesson:01","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a766f726e616d65"
"lex:wohnort","Wohnort","der","der Wohnort","masculine","place of residence","der Wohnort","","Wohnorte","","no (meaning plate)","https://hrezaii95.github.io/german-learning-exam/audio/tts-de-de-v1/tts-c9fc6c577e157747.mp3","der Wohnort","preview","","","","lesson:02","https://hrezaii95.github.io/german-learning-exam/vocabulary/id-6c65783a776f686e6f7274"
