de	en	plural	category	example	translation
Ja, habe ich.	Yes, I did.		Conversation	Hast du gelernt? Ja, habe ich.	Did you study? Yes, I did.
Nein, habe ich nicht.	No, I did not.		Conversation	Hast du gekocht? Nein, habe ich nicht.	Did you cook? No, I did not.
der Chor	choir	die Chöre	Hobbies	Ich habe im Chor gesungen.	I sang in the choir.
der Handball	handball		Hobbies	Wir haben Handball gespielt.	We played handball.
die Wäsche	laundry		Everyday	Ich habe Wäsche gewaschen.	I did the laundry.
waschen	to wash		Verbs	Ich habe die Wäsche gewaschen.	I washed the laundry.
das Geschenk	gift	die Geschenke	Objects	Ich habe ein Geschenk gekauft.	I bought a gift.
machen	to do / make		Verbs	Was hast du gemacht?	What did you do?
arbeiten	to work		Verbs	Ich habe gestern gearbeitet.	I worked yesterday.
hören	to hear / listen		Verbs	Ich habe Musik gehört.	I listened to music.
kochen	to cook		Verbs	Ich habe Nudeln gekocht.	I cooked noodles.
trinken	to drink		Verbs	Ich habe Kaffee getrunken.	I drank coffee.
lesen	to read		Verbs	Ich habe ein Buch gelesen.	I read a book.
schreiben	to write		Verbs	Ich habe Nachrichten geschrieben.	I wrote messages.
essen	to eat		Verbs	Ich habe ein Eis gegessen.	I ate an ice cream.
singen	to sing		Verbs	Ich habe im Chor gesungen.	I sang in the choir.
einkaufen	to shop		Verbs	Ich habe Brot eingekauft.	I bought bread.
fernsehen	to watch television		Verbs	Ich habe gestern ferngesehen.	I watched television yesterday.
fotografieren	to photograph		Verbs	Ich habe Vögel fotografiert.	I photographed birds.
telefonieren	to speak on the phone		Verbs	Ich habe lange telefoniert.	I talked on the phone for a long time.
spielen	to play		Verbs	Ich habe Basketball gespielt.	I played basketball.
schauen	to watch		Verbs	Ich habe einen Film geschaut.	I watched a film.
frühstücken	to have breakfast		Verbs	Ich habe spät gefrühstückt.	I had breakfast late.
backen	to bake		Verbs	Ich habe Kuchen gebacken.	I baked cake.
treffen	to meet		Verbs	Ich habe Freunde getroffen.	I met friends.
anrufen	to call by phone		Verbs	Ich habe meine Freundin angerufen.	I called my friend.
lernen	to learn / study		Verbs	Ich habe Deutsch gelernt.	I studied German.
abholen	to pick up		Verbs	Ich habe Anna abgeholt.	I picked Anna up.
malen	to paint		Verbs	Ich habe gestern gemalt.	I painted yesterday.
tanzen	to dance		Verbs	Ich habe lange getanzt.	I danced for a long time.
surfen	to surf		Verbs	Ich habe im Internet gesurft.	I surfed the internet.
chatten	to chat online		Verbs	Ich habe mit Anna gechattet.	I chatted with Anna.
