de	en	plural	category	example	translation
der November	November		Time	Im November habe ich Urlaub gemacht.	I went on holiday in November.
dieser / dieses / diese	this / these		Grammar	In diesem Jahr sind viele Besucher gekommen.	Many visitors came this year.
etwa	about / approximately		Grammar	Das Fest hat etwa eine Million Besucher.	The festival has about a million visitors.
der Besucher	male visitor	die Besucher	People	Viele Besucher sind gekommen.	Many visitors came.
die Besucherin	female visitor	die Besucherinnen	People	Viele Besucherinnen sind gekommen.	Many visitors came.
der Winter	winter	die Winter	Time	Im Winter habe ich Geburtstag.	My birthday is in winter.
der Dezember	December		Time	Im Dezember haben wir Weihnachten gefeiert.	We celebrated Christmas in December.
das Weihnachten	Christmas		Everyday	Wir haben Weihnachten gefeiert.	We celebrated Christmas.
feiern	to celebrate		Verbs	Wir haben zusammen gefeiert.	We celebrated together.
zurückfahren	to travel back		Verbs	Ich bin nach Berlin zurückgefahren.	I traveled back to Berlin.
das Tor	gate	die Tore	Objects	Wir waren am Brandenburger Tor.	We were at the Brandenburg Gate.
das Silvester	New Year's Eve		Everyday	Wir haben Silvester in Berlin gefeiert.	We celebrated New Year's Eve in Berlin.
ziemlich	quite / pretty		Adjectives	Die Reise war ziemlich schön.	The trip was quite lovely.
cool	cool		Adjectives	Das war ziemlich cool.	That was pretty cool.
der Sommer	summer	die Sommer	Time	Im Sommer sind wir in die Schweiz gefahren.	We traveled to Switzerland in summer.
durch	through		Travel	Wir sind durch drei Länder gefahren.	We traveled through three countries.
die Jahreszeit	season	die Jahreszeiten	Time	Welche Jahreszeit magst du?	Which season do you like?
der Monat	month	die Monate	Time	In welchem Monat hast du Geburtstag?	In which month is your birthday?
der Geburtstag	birthday	die Geburtstage	Everyday	Ich habe im März Geburtstag.	My birthday is in March.
der Frühling	spring	die Frühlinge	Time	Im Frühling bin ich nach Hamburg gefahren.	I traveled to Hamburg in spring.
der März	March		Time	Ich habe im März Geburtstag.	My birthday is in March.
der April	April		Time	Im April habe ich meine Eltern besucht.	I visited my parents in April.
der Mai	May		Time	Das Fest ist im Mai.	The festival is in May.
der Juni	June		Time	Wir sind im Juni angekommen.	We arrived in June.
der Juli	July		Time	Im Juli bin ich in die Schweiz gefahren.	I traveled to Switzerland in July.
der September	September		Time	Im September beginnt der Kurs.	The course starts in September.
der Januar	January		Time	Ich habe im Januar Geburtstag.	My birthday is in January.
der Februar	February		Time	Sie hat im Februar Geburtstag.	Her birthday is in February.
die Erdbeere	strawberry	die Erdbeeren	Food	Im Frühling essen wir Erdbeeren.	We eat strawberries in spring.
passieren	to happen		Verbs	Was ist passiert?	What happened?
wandern	to hike		Verbs	Wir sind in den Alpen gewandert.	We hiked in the Alps.
segeln	to sail		Verbs	Wir sind gesegelt.	We went sailing.
springen	to jump		Verbs	Ich bin vom Zehn-Meter-Brett gesprungen.	I jumped from the ten-meter diving board.
die Alpen	the Alps	plural only	Geography	Wir waren in den Alpen.	We were in the Alps.
der Hubschrauber	helicopter	die Hubschrauber	Travel	Ich bin mit dem Hubschrauber geflogen.	I flew in a helicopter.
das Zehn-Meter-Brett	ten-meter diving board	die Zehn-Meter-Bretter	Objects	Ich bin vom Zehn-Meter-Brett gesprungen.	I jumped from the ten-meter diving board.
nachts	at night		Time	Wir sind nachts angekommen.	We arrived at night.
Ja, das stimmt.	Yes, that is right.		Conversation	Ja, das stimmt. Das Wetter war toll.	Yes, that is right. The weather was great.
der Hafen	harbor	die Häfen	Travel	Wir sind zum Hafen gelaufen.	We walked to the harbor.
jeder / jedes / jede	each / every		Grammar	Jedes Jahr kommen viele Besucher.	Many visitors come every year.
wie lange	how long		Questions	Wie lange dauert das Fest?	How long does the festival last?
dauern	to last		Verbs	Das Fest dauert drei Tage.	The festival lasts three days.
das Schiff	ship	die Schiffe	Travel	Im Hafen gibt es viele Schiffe.	There are many ships in the harbor.
die Insel	island	die Inseln	Geography	Wir haben die Insel besucht.	We visited the island.
nichts	nothing / not anything		Grammar	Ich habe nichts gehört.	I did not hear anything.
geboren	born		Everyday	Ich bin 1991 geboren.	I was born in 1991.
die Stunde	hour	die Stunden	Time	Ich habe eine Stunde gewartet.	I waited for an hour.
warten	to wait		Verbs	Ich habe am Bahnhof gewartet.	I waited at the station.
der Durst	thirst		Everyday	Ich habe Durst.	I am thirsty.
legen	to lay / put		Verbs	Ich lege das Buch auf den Tisch.	I put the book on the table.
willkommen	welcome		Conversation	Willkommen in Hamburg!	Welcome to Hamburg!
fahren	to travel by vehicle		Verbs	Ich bin mit dem Zug gefahren.	I traveled by train.
fliegen	to fly		Verbs	Ich bin nach Österreich geflogen.	I flew to Austria.
gehen	to go on foot		Verbs	Wir sind ins Café gegangen.	We went to the café.
kommen	to come		Verbs	Meine Freundin ist gekommen.	My friend came.
ankommen	to arrive		Verbs	Wir sind am Montag angekommen.	We arrived on Monday.
abfahren	to depart		Verbs	Der Zug ist schon abgefahren.	The train has already departed.
einsteigen	to get on / in		Verbs	Wir sind in den Zug eingestiegen.	We boarded the train.
sein	to be		Verbs	Die Reise war schön.	The trip was lovely.
haben	to have		Verbs	Wir hatten viel Spaß.	We had a lot of fun.
sehen	to see		Verbs	Ich habe tolle Schiffe gesehen.	I saw wonderful ships.
abholen	to pick up		Verbs	Markus hat mich abgeholt.	Markus picked me up.
schwimmen	to swim		Verbs	Bist du schon einmal nachts geschwommen?	Have you ever swum at night?
reiten	to ride a horse		Verbs	Ich bin schon einmal geritten.	I have ridden a horse before.
Deutschland	Germany		Country	Wir sind nach Deutschland gefahren.	We traveled to Germany.
Österreich	Austria		Country	Ich bin nach Österreich geflogen.	I flew to Austria.
die Schweiz	Switzerland		Country	Im Sommer bin ich in die Schweiz gefahren.	I traveled to Switzerland in summer.
die Türkei	Turkey		Country	Er fliegt in die Türkei.	He is flying to Turkey.
Frankreich	France		Country	Tanja fährt nach Frankreich.	Tanja is traveling to France.
der Iran	Iran		Country	Im Frühling bin ich in den Iran geflogen.	I flew to Iran in spring.
Spanien	Spain		Country	Im März bin ich nach Spanien gefahren.	I traveled to Spain in March.
machen	to do / make		Verbs	Wir haben eine Radtour gemacht.	We went on a cycling tour.
lesen	to read		Verbs	Hast du meinen Blog gelesen?	Have you read my blog?
fotografieren	to photograph		Verbs	Ich habe Schiffe fotografiert.	I photographed ships.
essen	to eat		Verbs	Wir haben im Restaurant gegessen.	We ate in the restaurant.
trinken	to drink		Verbs	Wir haben Kaffee getrunken.	We drank coffee.
treffen	to meet		Verbs	Wir haben Freunde getroffen.	We met friends.
