de	en	plural	category	example	translation
wenig	little / not much		Adjectives	Mein Handy hat nur noch wenig Akku.	My phone has very little battery left.
der Akku	battery	die Akkus	Objects	Der Akku ist leer.	The battery is empty.
verstehen	to understand		Verbs	Ich verstehe.	I understand.
abholen	to pick up		Verbs	Ich hole dich am Flughafen ab.	I will pick you up at the airport.
was für	what a / what kind of		Questions	Was für eine Frage!	What a question!
natürlich	of course		Conversation	Natürlich hole ich dich ab.	Of course I will pick you up.
sich freuen	to be happy / look forward		Verbs	Ich freue mich auf dich.	I am looking forward to seeing you.
Bis gleich!	See you in a moment!		Conversation	Bis gleich, Sara!	See you in a moment, Sara!
einsteigen	to get on / get in		Verbs	Ich steige in die U-Bahn ein.	I am getting on the underground train.
umsteigen	to change trains or buses		Verbs	Wir steigen in Hamburg um.	We change trains in Hamburg.
aussteigen	to get off / get out		Verbs	Ich steige am Hauptbahnhof aus.	I get off at the main station.
der Verkehr	traffic		Travel	In der Stadt ist viel Verkehr.	There is a lot of traffic in the city.
das Verkehrsmittel	means of transport	die Verkehrsmittel	Travel	Welche Verkehrsmittel kennst du?	Which means of transport do you know?
das Gepäck	luggage		Travel	Ich habe viel Gepäck.	I have a lot of luggage.
der Bahnhof	station	die Bahnhöfe	Travel	Wir treffen uns am Bahnhof.	We are meeting at the station.
die U-Bahn	underground / subway	die U-Bahnen	Travel	Ich nehme die U-Bahn.	I take the underground.
das Taxi	taxi	die Taxen	Travel	Ich nehme ein Taxi.	I take a taxi.
der Bus	bus	die Busse	Travel	Der Bus fährt um acht Uhr ab.	The bus departs at eight.
der Zug	train	die Züge	Travel	Wann kommt der Zug an?	When does the train arrive?
die Straßenbahn	tram	die Straßenbahnen	Travel	Ich nehme die Straßenbahn.	I take the tram.
die S-Bahn	suburban / urban rail	die S-Bahnen	Travel	Die S-Bahn fährt zum Flughafen.	The suburban train goes to the airport.
das Flugzeug	airplane	die Flugzeuge	Travel	Das Flugzeug startet um vier Uhr.	The plane takes off at four.
der Koffer	suitcase	die Koffer	Travel	Ich habe zwei Koffer.	I have two suitcases.
der Rucksack	backpack	die Rucksäcke	Travel	Mein Rucksack ist blau.	My backpack is blue.
die Tasche	bag	die Taschen	Travel	Meine Tasche ist schwer.	My bag is heavy.
einkaufen	to shop / buy groceries		Verbs	Wir kaufen jetzt Brot ein.	We are buying bread now.
abfahren	to depart by train or road		Verbs	Der Zug fährt von Gleis vier ab.	The train departs from track four.
fernsehen	to watch television		Verbs	Wann seht ihr fern?	When do you watch television?
die Durchsage	announcement	die Durchsagen	Travel	Hören Sie die Durchsage.	Listen to the announcement.
der Intercity	intercity train	die Intercitys	Travel	Der Intercity fährt nach Salzburg.	The intercity train goes to Salzburg.
der Bahnsteig	platform	die Bahnsteige	Travel	Der Zug fährt von Bahnsteig drei ab.	The train departs from platform three.
von Bahnsteig …	from platform …		Travel	Der Zug fährt von Bahnsteig fünf ab.	The train departs from platform five.
die Abfahrt	departure	die Abfahrten	Travel	Die Abfahrt ist um zwölf Uhr.	Departure is at twelve.
die Richtung	direction	die Richtungen	Travel	Die U-Bahn fährt Richtung Pankow.	The underground train is heading towards Pankow.
einfahren	to pull in / arrive at a station		Verbs	Der Zug fährt an Gleis zwei ein.	The train is pulling in at track two.
das Gleis	track / numbered boarding track	die Gleise	Travel	Der Zug steht auf Gleis sieben.	The train is at track seven.
an Gleis …	at track …		Travel	Die U-Bahn fährt an Gleis zwei ein.	The underground train is pulling in at track two.
die Fahrt	journey / ride	die Fahrten	Travel	Die Fahrt endet hier.	The journey ends here.
enden	to end		Verbs	Die Fahrt endet an der Turmstraße.	The journey ends at Turmstraße.
beginnen	to begin		Verbs	Die Fahrt beginnt hier.	The journey starts here.
stehen	to stand / be situated		Verbs	Das Flugzeug steht am Ausgang B48.	The plane is at gate B48.
der Ausgang	exit / airport gate	die Ausgänge	Travel	Wo ist der Ausgang?	Where is the exit?
nächst-	next (changes ending)		Adjectives	Der nächste Halt ist Hamburg.	The next stop is Hamburg.
der Halt	stop	die Halte	Travel	Der nächste Halt ist der Hauptbahnhof.	The next stop is the main station.
der Hauptbahnhof	main station	die Hauptbahnhöfe	Travel	Ich steige am Hauptbahnhof aus.	I get off at the main station.
die Vorsicht	caution		Conversation	Bitte Vorsicht!	Please be careful!
Achtung!	Attention! / Watch out!		Conversation	Achtung, der Zug fährt ein!	Attention, the train is pulling in!
dich	you (informal singular object)		Grammar	Ich rufe dich morgen an.	I will call you tomorrow.
kurz vor	shortly before		Time	Ich komme kurz vor sieben an.	I arrive shortly before seven.
kurz nach	shortly after		Time	Ich komme kurz nach sechs an.	I arrive shortly after six.
fliegen	to fly		Verbs	Wir fliegen nach Mallorca.	We are flying to Mallorca.
fahren	to go by vehicle		Verbs	Ich fahre nach Berlin.	I am travelling to Berlin.
der Fahrgast	passenger	die Fahrgäste	Travel	Die Fahrgäste steigen aus.	The passengers are getting off.
informieren	to inform		Verbs	Informierst du die Kollegen?	Will you inform our colleagues?
bestellen	to order		Verbs	Ich bestelle einen Kaffee.	I am ordering a coffee.
besuchen	to visit		Verbs	Ich besuche meine Freundin.	I am visiting my friend.
gerade	right now		Time	Was machst du gerade?	What are you doing right now?
der Busbahnhof	bus station	die Busbahnhöfe	Travel	Du steigst am Busbahnhof um.	You change buses at the bus station.
die Flugreise	journey by plane	die Flugreisen	Travel	Die Flugreise dauert zwei Stunden.	The flight takes two hours.
