de	en	plural	category	example	translation
der Schokoladenkuchen	chocolate cake	die Schokoladenkuchen	Food	Ich möchte einen Schokoladenkuchen.	I would like a chocolate cake.
schade	what a pity		Conversation	Schade, wir haben keinen Kuchen mehr.	What a pity, we have no cake left.
na gut	all right then		Conversation	Na gut, dann nehme ich einen Tee.	All right then, I will have a tea.
nehmen	to take / have (when ordering)		Verbs	Was nimmst du?	What will you have?
unser	our		Grammar	Unser Nusskuchen ist sehr gut.	Our nut cake is very good.
der Gast	guest	die Gäste	People	Der Gast möchte einen Kaffee.	The guest would like a coffee.
die Speisekarte	menu (list of dishes)	die Speisekarten	Food	Die Speisekarte, bitte.	The menu, please.
sorgenfrei	free of worry		Adjectives	Ich bin sorgenfrei.	I am free of worry.
der Apfelsaft	apple juice	die Apfelsäfte	Food	Ich trinke gern Apfelsaft.	I like drinking apple juice.
der Orangensaft	orange juice	die Orangensäfte	Food	Einen Orangensaft, bitte.	An orange juice, please.
das Wasser	water		Food	Ich möchte Wasser.	I would like water.
die Speise	dish / food	die Speisen	Food	Die Speisen sind lecker.	The dishes are delicious.
die Vorspeise	starter	die Vorspeisen	Food	Ich nehme eine Vorspeise.	I will have a starter.
der Tomatensalat	tomato salad	die Tomatensalate	Food	Der Tomatensalat schmeckt gut.	The tomato salad tastes good.
die Kartoffel	potato	die Kartoffeln	Food	Ich esse gern Kartoffeln.	I like eating potatoes.
das Würstchen	sausage	die Würstchen	Food	Ich nehme ein Würstchen.	I will have a sausage.
das Hauptgericht	main course	die Hauptgerichte	Food	Als Hauptgericht nehme ich Fisch.	I will have fish as my main course.
die Pommes frites	fries / chips	plural only	Food	Ich liebe Pommes frites.	I love fries.
die Nudel	noodle / pasta	die Nudeln	Food	Ich esse gern Nudeln.	I like eating pasta.
die Soße	sauce	die Soßen	Food	Die Soße ist lecker.	The sauce is delicious.
das Huhn	chicken	die Hühner	Food	Ich möchte Huhn mit Reis.	I would like chicken with rice.
der Reis	rice		Food	Ich esse gern Reis.	I like eating rice.
das Dessert	dessert	die Desserts	Food	Möchtest du ein Dessert?	Would you like a dessert?
das Eis	ice cream		Food	Ein Eis, bitte.	An ice cream, please.
die Vanille	vanilla		Food	Ich mag Vanille.	I like vanilla.
die Erdbeere	strawberry	die Erdbeeren	Food	Ich esse gern Erdbeeren.	I like eating strawberries.
die Kugel	scoop / ball	die Kugeln	Food	Eine Kugel Eis, bitte.	One scoop of ice cream, please.
die Portion	portion	die Portionen	Food	Eine Portion Pommes, bitte.	A portion of fries, please.
die Sahne	cream		Food	Ich nehme einen Kuchen mit Sahne.	I will have a cake with cream.
das Obst	fruit		Food	Ich esse jeden Tag Obst.	I eat fruit every day.
das Stück	piece	die Stücke	Food	Ein Stück Kuchen, bitte.	A piece of cake, please.
die Zitrone	lemon	die Zitronen	Food	Ich trinke Tee mit Zitrone.	I drink tea with lemon.
der Zitronenkuchen	lemon cake	die Zitronenkuchen	Food	Ich mag Zitronenkuchen.	I like lemon cake.
der Nachtisch	dessert		Food	Was möchtest du zum Nachtisch?	What would you like for dessert?
perfekt	perfect		Adjectives	Das Menü ist perfekt.	The set meal is perfect.
das Menü	set meal / menu	die Menüs	Food	Ich nehme das Menü.	I will have the set meal.
schmecken	to taste		Verbs	Das schmeckt gut.	That tastes good.
die Stadt	city / town	die Städte	Places	Ich wohne in der Stadt.	I live in the city.
der Kaffee	coffee	die Kaffees	Food	Ich trinke gern Kaffee.	I like drinking coffee.
die Nuss	nut	die Nüsse	Food	Ich mag keine Nüsse.	I do not like nuts.
das Schinkenbrötchen	ham roll	die Schinkenbrötchen	Food	Ich nehme ein Schinkenbrötchen.	I will have a ham roll.
die Tomatensuppe	tomato soup	die Tomatensuppen	Food	Eine Tomatensuppe, bitte.	A tomato soup, please.
der Käsekuchen	cheesecake	die Käsekuchen	Food	Ich möchte einen Käsekuchen.	I would like a cheesecake.
das Schinkenbrot	ham sandwich	die Schinkenbrote	Food	Ich esse ein Schinkenbrot.	I am eating a ham sandwich.
Ich auch.	Me too.		Conversation	Ich mag Tee. – Ich auch.	I like tea. – Me too.
Ich nicht.	I do not.		Conversation	Ich mag Käse. – Ich nicht.	I like cheese. – I do not.
Ich schon.	I do (contrasting a negative statement).		Conversation	Ich mag keinen Käse. – Ich schon.	I do not like cheese. – I do.
Ich auch nicht.	Me neither.		Conversation	Ich mag keinen Fisch. – Ich auch nicht.	I do not like fish. – Me neither.
der Hunger	hunger		Food	Ich habe Hunger.	I am hungry.
das Gemüse	vegetables		Food	Ich esse gern Gemüse.	I like eating vegetables.
der Honig	honey		Food	Ich esse Brot mit Honig.	I eat bread with honey.
das Rezept	recipe	die Rezepte	Food	Das Rezept ist einfach.	The recipe is simple.
die Küche	kitchen	die Küchen	Food	Ich koche in der Küche.	I cook in the kitchen.
der Garten	garden	die Gärten	Places	Ich habe einen Garten.	I have a garden.
