de	en	plural	category	example	translation
der Klub	club	die Klubs	Places	Er geht oft in Klubs.	He often goes to clubs.
das Konzert	concert	die Konzerte	Hobbies	Ich gehe gern in Konzerte.	I like going to concerts.
das Start-up	start-up company	die Start-ups	Work	Sie hat ein Start-up.	She has a start-up company.
die Fitness	fitness		Hobbies	Fitness ist mein Hobby.	Fitness is my hobby.
das Studio	studio	die Studios	Places	Das Studio ist modern.	The studio is modern.
das Fitnessstudio	gym / fitness centre	die Fitnessstudios	Places	Das Fitnessstudio ist groß.	The gym is big.
nie	never		Frequency	Ich spiele nie Schach.	I never play chess.
lange	for a long time / long		Adverbs	Sie arbeitet oft lange.	She often works long hours.
manchmal	sometimes		Frequency	Manchmal fahre ich Rad.	Sometimes I go cycling.
vertikal	vertical		Classroom	Die Namen sind vertikal.	The names are arranged vertically.
horizontal	horizontal		Classroom	Die Namen sind horizontal.	The names are arranged horizontally.
diagonal	diagonal		Classroom	Die Namen sind diagonal.	The names are arranged diagonally.
lesen	to read		Verbs	Liest du gern?	Do you like reading?
Freunde treffen	to meet friends		Hobbies	Ich treffe gern Freunde.	I like meeting friends.
der Freund	friend (male) / boyfriend	die Freunde	People	Das ist mein Freund.	That is my friend.
die Freundin	friend (female) / girlfriend	die Freundinnen	People	Das ist meine Freundin.	That is my friend.
treffen	to meet		Verbs	Triffst du heute Anna?	Are you meeting Anna today?
fahren	to drive / ride / travel		Verbs	Fährst du gern Auto?	Do you like driving?
der Ausflug	trip / outing	die Ausflüge	Hobbies	Wir machen einen Ausflug.	We are going on an outing.
das Radio	radio	die Radios	Hobbies	Ich höre gern Radio.	I like listening to the radio.
im Internet surfen	to browse the internet		Hobbies	Ich surfe manchmal im Internet.	I sometimes browse the internet.
das Internet	internet		Hobbies	Ich brauche das Internet.	I need the internet.
surfen	to browse / surf		Verbs	Ich surfe gern im Internet.	I like browsing the internet.
Spaß machen	to be fun		Conversation	Das macht Spaß.	That is fun.
der Spaß	fun		Hobbies	Wir haben Spaß.	We are having fun.
Lieblings-	favourite (word prefix)		Grammar	Mein Lieblingsbuch ist interessant.	My favourite book is interesting.
Was machst du gern?	What do you like doing?		Conversation	Was machst du gern?	What do you like doing?
gern tun	to like doing		Conversation	Was tust du gern?	What do you like doing?
in deiner Freizeit	in your free time		Hobbies	Was machst du in deiner Freizeit?	What do you do in your free time?
zeichnen	to draw		Verbs	Sie kann sehr gut zeichnen.	She can draw very well.
planen	to plan		Verbs	Wer kann gut planen?	Who can plan well?
schreiben	to write		Verbs	Er kann toll schreiben.	He can write very well.
schlecht	bad / badly		Adjectives	Ich spreche schlecht Englisch.	I speak English badly.
die Stunde	hour	die Stunden	Time	Er schwimmt eine Stunde.	He swims for an hour.
kennen	to know / be familiar with		Verbs	Kennst du die Musik?	Do you know the music?
spielen	to play		Verbs	Ich spiele gern Tennis.	I like playing tennis.
